t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,u_1,u_2,u_3,u_4,comm_t,comm_id,comm_type
0,0,-6,1.300000000000000044,1,0,0,0,0,0,0,0,0,0,0,0,4.933411764705883051,7,0,6.31441,0.685588,0.0039592,0,3
0.003959196894601292246,-3.468253171768600647e-08,-5.999999680566520333,1.30005222860800651,0.9999721210435789098,-0.007423425190953869025,-0.0008059993587784083013,3.630174001537149091e-20,-3.503947814121881224e-05,0.0003227210318202169146,0.02638222353167411771,-7.5,-0.8143134786627135302,3.728495133115625453e-17,-0.02654982691059701999,0.2445295418129191933,4.931575067596591921,7,0,6.31441,0.685588,0.0039592,0,3
0.007918393789202584493,-5.548586277869624584e-07,-5.999994889634253425,1.300208856853655393,0.9995539685635572713,-0.02968956171687696724,-0.003223548037552187613,1.493572990830289677e-19,-0.0002802479398909581013,0.002581143017101858277,0.05272082296166676757,-15,-1.62862695732542706,7.281675450602628157e-17,-0.2122802036379660418,1.955145738099945518,21.3452420766283808,7,7,7,7,0.00386199,1,1
0.01178038533234384948,-3.733872927373996062e-06,-5.999965610237716795,1.300584197673932074,0.9982597881779512461,-0.05862488277784964896,-0.006365204297469940348,2.774849954915777579e-19,-0.00149886780982233514,0.01380489070637588855,0.1415463662647510612,-15,-1.628626957325427504,3.882670816927170148e-17,-0.4186248701732903643,3.855623919495660079,21.17490118639759089,7,7,7,7,0.00386199,1,1
0.01564237687548511446,-1.315490158514512995e-05,-5.999878840563893867,1.301301035162354625,0.9961182871661451443,-0.08751044317208957202,-0.009501457786503996958,3.897014093395877673e-19,-0.003511869865480327091,0.03234506695671680865,0.2294993894716385041,-15,-1.628626957325427949,5.821880566915803531e-18,-0.6235485269752147897,5.743014299596471695,20.89352011717920377,7,7,7,7,0.00386199,1,1
0.01950436841862637771,-3.187351176307685327e-05,-5.999706438190590241,1.302355173713743097,0.9931312832293095472,-0.1163217249019661281,-0.01262964645986229886,5.359735507733123214e-19,-0.00631242103096131546,0.05813873768853489166,0.3161527798575323733,-15,-1.628626957325428393,-2.619772830104140612e-17,-0.8263555667567893392,7.610910187626865664,20.50205400868622618,7,7,7,7,0.00386199,1,1
0.02336635996176764096,-6.291371025784559196e-05,-5.999420551373276567,1.303740776271479884,0.989301311729564925,-0.1450342730174093986,-0.0157471151181499229,7.6152295970165088e-19,-0.009891014918221106844,0.0910983470499381609,0.4010838362627867637,-15,-1.628626957325428837,-5.723211843459993362e-17,-1.026357567024896777,9.452971066287705781,20.00183168103878728,7,7,7,7,0.00386199,1,1
0.02722835150490890421,-0.0001092576785992719094,-5.998993713587008614,1.305450384141226383,0.9846316235379722892,-0.1736237163732159694,-0.01885121766109625063,1.021686386831863205e-18,-0.01423550409622779782,0.1311120146224802607,0.4838757039394801507,-15,-1.628626957325429281,-8.85128132517581332e-17,-1.222875626910026048,11.26294411445451793,19.39455112412357352,7,7,7,7,0.00386199,1,1
0.03109034304805016746,-0.0001738356501233952547,-5.998398936760734657,1.307474942309239108,0.9791261822752010957,-0.2020657883152211232,-0.02193931933355883906,1.421422468001889038e-18,-0.01933114132505686991,0.1780439151959294641,0.5641187895525179297,-15,-1.628626957325429725,-1.249659064245094279e-16,-1.415242671675179587,13.03468543219369202,18.68227373381740009,7,7,7,7,0.00386199,1,1
0.03495233459119143071,-0.0002595159633821547966,-5.997609802887504671,1.309803830179346651,0.972789660947216861,-0.2303363472777795462,-0.02500879896189754995,1.945099065959269018e-18,-0.02516062961496062095,0.2317347398229246125,0.6414121515320833078,-15,-1.628626957325430169,-1.604337808628620343e-16,-1.602805717081317693,14.76218089604895134,17.86741731463995109,7,7,7,7,0.00386199,1,1
0.03881432613433269396,-0.0003690953256530828987,-5.996600553699609648,1.312424897624248521,0.9656274379788448714,-0.2584113972750710087,-0.02805705117882075633,2.628446780138195643e-18,-0.03170418094048789437,0.2920022365884815119,0.7153648610579277367,-15,-1.628626957325430613,-1.949164365668159524e-16,-1.784928085923031649,16.43956657380538289,16.95274787258787086,7,7,7,7,0.00386199,1,1
0.04267631767747395721,-0.0005052893195992395631,-5.995346178104263402,1.315324506228763068,0.9576455926485749615,-0.2862671082688382218,-0.03108148863481513188,3.489330910255765161e-18,-0.03893958341035074627,0.3586418292587238987,0.7855973290556790278,-15,-1.628626957325431057,-2.297274985155694168e-16,-1.960991569210469354,18.06114862943376309,15.94137022600929754,7,7,7,7,0.00386199,1,1
0.04653830922061522046,-0.0006707231853042489641,-5.993822497083011847,1.318487575585024052,0.9488508999284841483,-0.3138798363952689519,-0.03407954419428201043,4.67625676021033863e-18,-0.04684227666503197607,0.4314273117088538445,0.8517425947007175591,-15,-1.628626957325431501,-2.701214666259154647e-16,-2.130398524661451631,19.62142265064841595,14.83671746638987798,7,7,7,7,0.00386199,1,1
0.05040030076375648371,-0.0008679229089725484098,-5.992006245766699379,1.321897634482478656,0.9392508247336557314,-0.3412261440338534846,-0.03704867311451622014,6.121112874830487536e-18,-0.0553854352461985236,0.5101116157731467871,0.913447571055832741,-15,-1.628626957325431945,-3.095302160018627996e-16,-2.292573905380506982,21.11509233347176107,13.6425393048253305,7,7,7,7,0.00386199,1,1
